Type,Active,Name,Imdb id,Movie Tier,Production Cost,Rank,Price
Actor,TRUE,Steve Buscemi,nm0000114,,,7,2500
Actor,TRUE,Jim Parsons,nm1433588,,,8,2500
Actor,TRUE,Kathleen Turner,nm0000678,,,9,2500
Actor,TRUE,Laverne Cox,nm1209545,,,10,2500
Actor,TRUE,Iman Vellani,nm11940123,,,11,1000
,,,,,,,
Movie,TRUE,Hoppers,tt26443616,Mainstream,0,,0
Director,TRUE,Daniel Chong,nm5512802,,,,
Actor,TRUE,Piper Curda,nm4552582,,,1,0
Actor,TRUE,Bobby Moynihan,nm1293885,,,2,0
Actor,TRUE,Jon Hamm,nm0358316,,,3,0
Actor,TRUE,Kathy Najimy,nm0001562,,,4,0
Actor,TRUE,Isiah Whitlock Jr.,nm0926086,,,5,0
Actor,TRUE,Meryl Streep,nm0000658,,,6,0
Actor,TRUE,Sam Richardson,nm3931538,,,7,0
Actor,TRUE,Karen Huie,nm0401235,,,8,0
Actor,TRUE,Aparna Nancherla,nm5478103,,,9,0
Actor,TRUE,Melissa Villaseñor,nm3830257,,,10,0
Actor,TRUE,Dave Franco,nm2002649,,,11,0
Actor,TRUE,Ego Nwodim,nm4945455,,,12,0
Actor,TRUE,Vanessa Bayer,nm3364779,,,13,0
Actor,TRUE,Nichole Sakura,nm3783235,,,14,0
Actor,TRUE,Eduardo Franco,nm7533568,,,15,0
,,,,,,,
Movie,TRUE,Scream 7,tt27047903,Blockbuster,150000000,,100000
Director,TRUE,Kevin Williamson,nm0932078,,,,25000
Actor,TRUE,Neve Campbell,nm0000117,,,1,25000
Actor,TRUE,Courteney Cox,nm0001073,,,2,25000
Actor,TRUE,Isabel May,nm8908475,,,3,25000
Actor,TRUE,Jasmin Savoy Brown,nm5506401,,,4,25000
Actor,TRUE,Mason Gooding,nm2864252,,,5,25000
Actor,TRUE,Anna Camp,nm2319871,,,6,15000
Actor,TRUE,Joel McHale,nm0570364,,,7,15000
Actor,TRUE,Mckenna Grace,nm5085683,,,8,15000
Actor,TRUE,Michelle Randolph,nm8948296,,,9,15000
Actor,TRUE,Jimmy Tatro,nm5555161,,,10,15000
Actor,TRUE,Asa Germann,nm11091923,,,11,5000
Actor,TRUE,Celeste O'Connor,nm9305936,,,12,5000
Actor,TRUE,Sam Rechner,nm11809977,,,13,5000
Actor,TRUE,Ethan Embry,nm0256121,,,14,5000
Actor,TRUE,Timothy Simons,nm3985937,,,15,5000
,,,,,,,
Movie,TRUE,Demon Squad: Tooth and Claw,tt27575701,Indie,5000000,,25000
Director,TRUE,Thomas Smith,nm3390194,,,,5000
Actor,TRUE,Ginger Cressman,nm13673784,,,1,5000
Actor,TRUE,Billy Culbertson,nm6477631,,,2,5000
Actor,TRUE,Rob Eubanks,nm8426931,,,3,5000
Actor,TRUE,Erin Lilley,nm3390880,,,4,5000
Actor,TRUE,Amir Zandi,nm6404534,,,5,5000
Actor,TRUE,Iona Yabut,nm14292263,,,6,2500
Actor,TRUE,Monica Webb,nm3775931,,,7,2500
Actor,TRUE,Victoria Antonelli,nm8699875,,,8,2500
Actor,TRUE,Brittany Foti,nm6886163,,,9,2500
Actor,TRUE,Khristian Fulmer,nm3013501,,,10,2500
Actor,TRUE,Scott Alan Warner,nm6773470,,,11,1000
Actor,TRUE,Curtis Lilley,nm3946138,,,12,1000
Actor,TRUE,Pavani Mitchum,nm14601392,,,13,1000
Actor,TRUE,Kelly Houk,nm5278820,,,14,1000
Actor,TRUE,Xavier DuPriest,nm7578172,,,15,1000
,,,,,,,
Movie,TRUE,GOAT,tt27613895,Indie,5000000,,25000
Director,TRUE,Tyree Dillihay,nm2826643,,,,5000
Director,TRUE,Adam Rosette,nm2411105,,,,5000
Actor,TRUE,Caleb McLaughlin,nm5160895,,,1,5000
Actor,TRUE,Gabrielle Union,nm0005517,,,2,5000
Actor,TRUE,Nick Kroll,nm1802209,,,3,5000
Actor,TRUE,Nicola Coughlan,nm1965552,,,4,5000
Actor,TRUE,David Harbour,nm1092086,,,5,5000
Actor,TRUE,Stephen Curry,nm2967426,,,6,2500
Actor,TRUE,Jenifer Lewis,nm0507338,,,7,2500
Actor,TRUE,Patton Oswalt,nm0652663,,,8,2500
Actor,TRUE,Bobby Lee,nm0496899,,,9,2500
Actor,TRUE,Sherry Cola,nm8781499,,,10,2500
Actor,TRUE,Andrew Santino,nm2747668,,,11,1000
