movie_name,movie_imdb_id,release_date,actor_name,actor_imdb_id,rank
Return to Silent Hill,tt22868010,2026-01-23 00:00:00,Evie Templeton,nm12024632,4
Return to Silent Hill,tt22868010,2026-01-23 00:00:00,Pearse Egan,nm9043183,5
Return to Silent Hill,tt22868010,2026-01-23 00:00:00,Eve Macklin,nm2984440,6
Return to Silent Hill,tt22868010,2026-01-23 00:00:00,Emily Carding,nm6205905,7
Return to Silent Hill,tt22868010,2026-01-23 00:00:00,Martine Richards,nm4517780,8
Return to Silent Hill,tt22868010,2026-01-23 00:00:00,Howard Saddler,nm1475071,9
Return to Silent Hill,tt22868010,2026-01-23 00:00:00,Matteo Pasquini,nm10547340,10
Return to Silent Hill,tt22868010,2026-01-23 00:00:00,Melissa Graham,nm4622020,11
Return to Silent Hill,tt22868010,2026-01-23 00:00:00,Lara Duru,nm15010705,12
Return to Silent Hill,tt22868010,2026-01-23 00:00:00,Karya Duru,nm14742529,13
Return to Silent Hill,tt22868010,2026-01-23 00:00:00,Sandy E. Scott,nm5004782,14
Return to Silent Hill,tt22868010,2026-01-23 00:00:00,Nicola Alexis,nm1273937,15
Jimpa,tt23745668,2026-02-13 00:00:00,Aud Mason-Hyde,nm4928345,1
Jimpa,tt23745668,2026-02-13 00:00:00,Olivia Colman,nm1469236,2
Jimpa,tt23745668,2026-02-13 00:00:00,John Lithgow,nm0001475,3
